Sentence,Target Index,Lemma,Category,Inflection Label,Word Form,Source Type
Barlow on the right,3,right,Verb,base,right,NaturalWikiText
"I was , unfortunately , right",5,right,Verb,base,right,NaturalWikiText
"= = = "" Iceberg right ahead ! "" ( 23 : 39 ) = = =",5,right,Verb,base,right,NaturalWikiText
The right to privacy was the basis for Roe v,1,right,Verb,base,right,NaturalWikiText
9 April 1689 – 14 December 1702 : The Right Honourable The Countess of Marlborough,9,right,Verb,base,right,NaturalWikiText
Barlow on the right,3,right,Verb,positive,right,NaturalWikiText
"I was , unfortunately , right",5,right,Verb,positive,right,NaturalWikiText
"= = = "" Iceberg right ahead ! "" ( 23 : 39 ) = = =",5,right,Verb,positive,right,NaturalWikiText
The right to privacy was the basis for Roe v,1,right,Verb,positive,right,NaturalWikiText
9 April 1689 – 14 December 1702 : The Right Honourable The Countess of Marlborough,9,right,Verb,positive,right,NaturalWikiText
Barlow on the right,3,right,Verb,singular,right,NaturalWikiText
"I was , unfortunately , right",5,right,Verb,singular,right,NaturalWikiText
"= = = "" Iceberg right ahead ! "" ( 23 : 39 ) = = =",5,right,Verb,singular,right,NaturalWikiText
The right to privacy was the basis for Roe v,1,right,Verb,singular,right,NaturalWikiText
9 April 1689 – 14 December 1702 : The Right Honourable The Countess of Marlborough,9,right,Verb,singular,right,NaturalWikiText
Data from the James Foster Jr,4,foster,Noun,base,foster,NaturalWikiText
"Foster , Edward ( 1995 )",0,foster,Noun,base,foster,NaturalWikiText
"Watson , Foster ( 1924 )",2,foster,Noun,base,foster,NaturalWikiText
Seth Foster – mastering,1,foster,Noun,base,foster,NaturalWikiText
= Ira Roe Foster =,3,foster,Noun,base,foster,NaturalWikiText
Data from the James Foster Jr,4,foster,Noun,singular,foster,NaturalWikiText
"Foster , Edward ( 1995 )",0,foster,Noun,singular,foster,NaturalWikiText
"Watson , Foster ( 1924 )",2,foster,Noun,singular,foster,NaturalWikiText
Seth Foster – mastering,1,foster,Noun,singular,foster,NaturalWikiText
= Ira Roe Foster =,3,foster,Noun,singular,foster,NaturalWikiText
Data from the James Foster Jr,4,foster,Noun,positive,foster,NaturalWikiText
"Foster , Edward ( 1995 )",0,foster,Noun,positive,foster,NaturalWikiText
"Watson , Foster ( 1924 )",2,foster,Noun,positive,foster,NaturalWikiText
Seth Foster – mastering,1,foster,Noun,positive,foster,NaturalWikiText
= Ira Roe Foster =,3,foster,Noun,positive,foster,NaturalWikiText
The organization cites the papal encyclical Dies Domini :,6,die,Verb,base,dies,NaturalWikiText
= = = = = Tomorrow Never Dies ( 1997 ) = = = = =,7,die,Verb,base,dies,NaturalWikiText
"However , Mahadev dies before the consummation of the marriage",3,die,Verb,base,dies,NaturalWikiText
Rennie dies from the botched abortion,1,die,Verb,base,dies,NaturalWikiText
"After the contest , Barclay dies of "" beef poisoning """,5,die,Verb,base,dies,NaturalWikiText
The organization cites the papal encyclical Dies Domini :,6,die,Verb,plural,dies,NaturalWikiText
= = = = = Tomorrow Never Dies ( 1997 ) = = = = =,7,die,Verb,plural,dies,NaturalWikiText
