Sentence,Target Index,Lemma,Category,Inflection Label,Word Form,Dimension,Source Type
patent for the telephone,3,telephone,Noun,base,telephone,,NaturalWikiText
"Of the estimated 11 million Africans transported into slavery , about 1 @",2,estimate,Noun,past,estimated,,NaturalWikiText
"Unfortunately for Nebraska , the underdog Longhorns upset heavily favored Nebraska , 37 – 27",7,upset,Verb,singular,upset,,NaturalWikiText
The industry is worth ₹ 100 cr ( US $ 18 @,3,worth,Noun,singular,worth,,NaturalWikiText
Tammars commonly feed on acacia seeds,2,feed,Verb,base,feed,,NaturalWikiText
Future tense is marked by the particle wè,3,mark,Noun,past,marked,,NaturalWikiText
= = = Alive or Just Breathing ( 2001 – 2004 ) = = =,5,just,Noun,positive,just,,NaturalWikiText
Four hand @-@ crafted carrara marble fireplaces warmed the downstairs room,1,hand,Noun,singular,hand,,NaturalWikiText
It is the sure one.,3,sure,Adjective,superlative,sure,Degree,Template
"Restoration efforts financed by motivated investors , notably Houston businessman George P",1,effort,Noun,base,efforts,,NaturalWikiText
= = = New York Rangers = = =,5,ranger,Noun,base,rangers,,NaturalWikiText
The king 's promises were retracted,1,king,Noun,base,king,,NaturalWikiText
= = = 1989 turret explosion = = =,4,turret,Noun,singular,turret,,NaturalWikiText
= Pride & Prejudice ( 2005 film ) =,1,pride,Noun,singular,pride,,NaturalWikiText
"Rifle ( 3 ) : 1914 , 1916 , 1917",0,rifle,Noun,base,rifle,,NaturalWikiText
2009 : Paraíso Express,3,express,Noun,singular,express,,NaturalWikiText
Bolton 's Distribution Network Operator for electricity is Electricity North West Ltd,3,network,Noun,singular,network,,NaturalWikiText
"The Oldman Formation dates to the Campanian , about 77 @",3,date,Noun,base,dates,,NaturalWikiText
@ 7 @-@ kilometre ( 6 mi ) front,8,front,Adjective,singular,front,,NaturalWikiText
@ 57 acres ( 13 @,2,acre,Noun,plural,acres,,NaturalWikiText
= Mario Power Tennis =,3,tennis,Noun,singular,tennis,,NaturalWikiText
@ 8 % after growing by 5 @,4,grow,Verb,base,growing,,NaturalWikiText
"Bruce Wilkinson ; Kopp , David ( 2000 )",0,bruce,Noun,singular,bruce,,NaturalWikiText
Let us hasten the enactment,0,let,Verb,past,let,,NaturalWikiText
5 's address,2,address,Noun,base,address,,NaturalWikiText
""" According to Alan Connor : """,3,alan,Noun,singular,alan,,NaturalWikiText
Louis Cardinals ( 2014 ) = = =,1,cardinal,Noun,plural,cardinals,,NaturalWikiText
= = = Changes after 1956 = = =,3,change,Verb,base,changes,,NaturalWikiText
@ 35 @-@ metric @-@ ton ( 3 @,3,metric,Noun,positive,metric,,NaturalWikiText
= = Beyond a Boundary = =,4,boundary,Noun,singular,boundary,,NaturalWikiText
Tulsidas is believed by many to be a reincarnation of Valmiki,2,believe,Verb,past,believed,,NaturalWikiText
Virgil was also appointed acting town marshal of Tombstone,6,marshal,Noun,singular,marshal,,NaturalWikiText
"However , numerous clues suggest the unreliability of Cloud 's memory",8,cloud,Noun,singular,cloud,,NaturalWikiText
I intensified yesterday.,1,intensify,Verb,past,intensified,Tense/Aspect,Template
New York : Pocket,3,pocket,Noun,base,pocket,,NaturalWikiText
""" Wash Me Clean "" – 2 : 37",3,clean,Noun,positive,clean,,NaturalWikiText
"Roland Fields , Darrell Silvera",1,field,Noun,plural,fields,,NaturalWikiText
""" 12 Happy Grandmothers """,2,happy,Verb,base,happy,,NaturalWikiText
""" Wishful Thinking "" ( Tweedy , Glenn Kotche ) – 4 : 41",2,think,Verb,base,thinking,,NaturalWikiText
"British Home Championship ( 2 ) : 1907 , 1920",1,home,Noun,base,home,,NaturalWikiText
merula stock fairly recently,1,stock,Noun,base,stock,,NaturalWikiText
"Nuskhuri , like Asomtavruli is also often highly stylized",2,like,Verb,singular,like,,NaturalWikiText
The parliament is a unicameral legislative body,6,body,Verb,base,body,,NaturalWikiText
= = = Greek administration ( October 1914 – September 1916 ) = = =,3,Greek,Adjective,positive,greek,,NaturalWikiText
@ 68 – just 0 @,3,just,Noun,base,just,,NaturalWikiText
Underlying structural flaws were also corrected,1,structural,Noun,positive,structural,,NaturalWikiText
"@ 1 cinema audio format , supported by Barco",4,format,Noun,base,format,,NaturalWikiText
"Ysabel ( March 7 , 2003 ) daughter",2,march,Noun,base,march,,NaturalWikiText
Buffy the Vampire Slayer,2,vampire,Noun,singular,vampire,,NaturalWikiText
= = = = Loss of sleep = = = =,6,sleep,Verb,singular,sleep,,NaturalWikiText
The town 's urban area consisted of 287 m2 ( 0 @,5,consist,Verb,past,consisted,,NaturalWikiText
Marguerite Moreno – Pearls of the Crown ( 1937 ),6,crown,Noun,positive,crown,,NaturalWikiText
to join them,1,join,Noun,singular,join,,NaturalWikiText
"While escorting SS Elysia 12 nmi ( 14 mi ; 22 km ) off Queenstown on 16 June , lookouts on O 'Brien sighted a periscope",0,while,Noun,base,while,,NaturalWikiText
@ 85 million Adults 25 @-@ 54,3,adult,Noun,base,adults,,NaturalWikiText
@ 88 meters ( 186 @,2,meter,Noun,base,meters,,NaturalWikiText
= = = Uniqueness of polar coordinates = = =,5,polar,Noun,positive,polar,,NaturalWikiText
New technologies were also introduced within the buildings,4,introduce,Verb,past,introduced,,NaturalWikiText
Just under 4 @,0,just,Noun,base,just,,NaturalWikiText
was underselling them to the extent of £ 20 a ton,5,extent,Noun,positive,extent,,NaturalWikiText
"On July 15 , 2008 , the town of Irondequoit let a $ 12 @",10,let,Verb,base,let,,NaturalWikiText
""" Davenport Blues "" ( 1925 )",2,blue,Noun,base,blues,,NaturalWikiText
According to authors R,2,author,Noun,plural,authors,,NaturalWikiText
I was trying to heal,2,trying,Noun,positive,trying,,NaturalWikiText
Parasitism by the shining bronze cuckoo ( C,4,bronze,Noun,singular,bronze,,NaturalWikiText
"Jackson also cut a version of "" Starlight """,2,cut,Verb,base,cut,,NaturalWikiText
= = = Obtaining a license = = =,5,license,Noun,base,license,,NaturalWikiText
Morton to challenge Clements,2,challenge,Noun,singular,challenge,,NaturalWikiText
