Sentence,Target Index,Lemma,Category,Inflection Label,Word Form,Dimension,Source Type
I gathered yesterday.,1,gather,Verb,past,gathered,Tense/Aspect,Template
I ceased yesterday.,1,cease,Verb,past,ceased,Tense/Aspect,Template
I brought yesterday.,1,bring,Verb,past,brought,Tense/Aspect,Template
I confused yesterday.,1,confuse,Verb,past,confused,Tense/Aspect,Template
I instructed yesterday.,1,instruct,Verb,past,instructed,Tense/Aspect,Template
I identified yesterday.,1,identify,Verb,past,identified,Tense/Aspect,Template
I launched yesterday.,1,launch,Verb,past,launched,Tense/Aspect,Template
I deemed yesterday.,1,deem,Verb,past,deemed,Tense/Aspect,Template
I accused yesterday.,1,accuse,Verb,past,accused,Tense/Aspect,Template
I repeated yesterday.,1,repeat,Verb,past,repeated,Tense/Aspect,Template
I encouraged yesterday.,1,encourage,Verb,past,encouraged,Tense/Aspect,Template
I asked yesterday.,1,ask,Verb,past,asked,Tense/Aspect,Template
I followed yesterday.,1,followe,Verb,past,followed,Tense/Aspect,Template
I related yesterday.,1,relate,Verb,past,related,Tense/Aspect,Template
I dispatched yesterday.,1,dispatch,Verb,past,dispatched,Tense/Aspect,Template
I rose yesterday.,1,rise,Verb,past,rose,Tense/Aspect,Template
I had yesterday.,1,hav,Verb,past,had,Tense/Aspect,Template
I hoped yesterday.,1,hope,Verb,past,hoped,Tense/Aspect,Template
I renewed yesterday.,1,renew,Verb,past,renewed,Tense/Aspect,Template
I pushed yesterday.,1,push,Verb,past,pushed,Tense/Aspect,Template
I diagnosed yesterday.,1,diagnose,Verb,past,diagnosed,Tense/Aspect,Template
I took yesterday.,1,take,Verb,past,took,Tense/Aspect,Template
I rejected yesterday.,1,reject,Verb,past,rejected,Tense/Aspect,Template
I promoted yesterday.,1,promote,Verb,past,promoted,Tense/Aspect,Template
I improved yesterday.,1,improve,Verb,past,improved,Tense/Aspect,Template
I converted yesterday.,1,convert,Verb,past,converted,Tense/Aspect,Template
I buried yesterday.,1,bury,Verb,past,buried,Tense/Aspect,Template
I convicted yesterday.,1,convict,Verb,past,convicted,Tense/Aspect,Template
I bought yesterday.,1,buy,Verb,past,bought,Tense/Aspect,Template
I mixed yesterday.,1,mixe,Verb,past,mixed,Tense/Aspect,Template
I allocated yesterday.,1,allocate,Verb,past,allocated,Tense/Aspect,Template
I surpassed yesterday.,1,surpass,Verb,past,surpassed,Tense/Aspect,Template
I shot yesterday.,1,shoot,Verb,past,shot,Tense/Aspect,Template
I exposed yesterday.,1,expose,Verb,past,exposed,Tense/Aspect,Template
I went yesterday.,1,go,Verb,past,went,Tense/Aspect,Template
I naked yesterday.,1,nake,Verb,past,naked,Tense/Aspect,Template
I nominated yesterday.,1,nominate,Verb,past,nominated,Tense/Aspect,Template
I loved yesterday.,1,love,Verb,past,loved,Tense/Aspect,Template
I reduced yesterday.,1,reduce,Verb,past,reduced,Tense/Aspect,Template
I withdrew yesterday.,1,withdraw,Verb,past,withdrew,Tense/Aspect,Template
I celebrated yesterday.,1,celebrate,Verb,past,celebrated,Tense/Aspect,Template
I came yesterday.,1,come,Verb,past,came,Tense/Aspect,Template
I flew yesterday.,1,fly,Verb,past,flew,Tense/Aspect,Template
I relocated yesterday.,1,relocate,Verb,past,relocated,Tense/Aspect,Template
I undertook yesterday.,1,undertake,Verb,past,undertook,Tense/Aspect,Template
I underwent yesterday.,1,undergoe,Verb,past,underwent,Tense/Aspect,Template
I cleared yesterday.,1,clear,Verb,past,cleared,Tense/Aspect,Template
I resumed yesterday.,1,resume,Verb,past,resumed,Tense/Aspect,Template
I renamed yesterday.,1,rename,Verb,past,renamed,Tense/Aspect,Template
I stopped yesterday.,1,stop,Verb,past,stopped,Tense/Aspect,Template
I required yesterday.,1,require,Verb,past,required,Tense/Aspect,Template
I illustrated yesterday.,1,illustrate,Verb,past,illustrated,Tense/Aspect,Template
I convinced yesterday.,1,convince,Verb,past,convinced,Tense/Aspect,Template
I perceived yesterday.,1,perceive,Verb,past,perceived,Tense/Aspect,Template
I accomplished yesterday.,1,accomplish,Verb,past,accomplished,Tense/Aspect,Template
I detached yesterday.,1,detach,Verb,past,detached,Tense/Aspect,Template
I possessed yesterday.,1,possess,Verb,past,possessed,Tense/Aspect,Template
I gained yesterday.,1,gain,Verb,past,gained,Tense/Aspect,Template
I defined yesterday.,1,define,Verb,past,defined,Tense/Aspect,Template
I cost yesterday.,1,cost,Verb,past,cost,Tense/Aspect,Template
I observed yesterday.,1,observe,Verb,past,observed,Tense/Aspect,Template
I controlled yesterday.,1,control,Verb,past,controlled,Tense/Aspect,Template
I located yesterday.,1,locate,Verb,past,located,Tense/Aspect,Template
I chose yesterday.,1,choose,Verb,past,chose,Tense/Aspect,Template
I collaborated yesterday.,1,collaborate,Verb,past,collaborated,Tense/Aspect,Template
I increased yesterday.,1,increase,Verb,past,increased,Tense/Aspect,Template
I received yesterday.,1,receive,Verb,past,received,Tense/Aspect,Template
I executed yesterday.,1,execute,Verb,past,executed,Tense/Aspect,Template
I reinforced yesterday.,1,reinforce,Verb,past,reinforced,Tense/Aspect,Template
I underwent yesterday.,1,undergo,Verb,past,underwent,Tense/Aspect,Template
I fed yesterday.,1,feed,Verb,past,fed,Tense/Aspect,Template
I asserted yesterday.,1,assert,Verb,past,asserted,Tense/Aspect,Template
I followed yesterday.,1,follow,Verb,past,followed,Tense/Aspect,Template
I helped yesterday.,1,helpe,Verb,past,helped,Tense/Aspect,Template
I comprised yesterday.,1,comprise,Verb,past,comprised,Tense/Aspect,Template
I upset yesterday.,1,upset,Verb,past,upset,Tense/Aspect,Template
I opposed yesterday.,1,oppose,Verb,past,opposed,Tense/Aspect,Template
I survived yesterday.,1,survive,Verb,past,survived,Tense/Aspect,Template
I integrated yesterday.,1,integrate,Verb,past,integrated,Tense/Aspect,Template
I applied yesterday.,1,apply,Verb,past,applied,Tense/Aspect,Template
I passed yesterday.,1,passe,Verb,past,passed,Tense/Aspect,Template
I died yesterday.,1,die,Verb,past,died,Tense/Aspect,Template
I permitted yesterday.,1,permit,Verb,past,permitted,Tense/Aspect,Template
I deployed yesterday.,1,deploy,Verb,past,deployed,Tense/Aspect,Template
I surrounded yesterday.,1,surround,Verb,past,surrounded,Tense/Aspect,Template
I topped yesterday.,1,top,Verb,past,topped,Tense/Aspect,Template
I authorized yesterday.,1,authorize,Verb,past,authorized,Tense/Aspect,Template
I killed yesterday.,1,kill,Verb,past,killed,Tense/Aspect,Template
I indicated yesterday.,1,indicate,Verb,past,indicated,Tense/Aspect,Template
I devoted yesterday.,1,devote,Verb,past,devoted,Tense/Aspect,Template
I donated yesterday.,1,donate,Verb,past,donated,Tense/Aspect,Template
I left yesterday.,1,leaue,Verb,past,left,Tense/Aspect,Template
I explored yesterday.,1,explore,Verb,past,explored,Tense/Aspect,Template
I evolved yesterday.,1,evolve,Verb,past,evolved,Tense/Aspect,Template
I found yesterday.,1,foind,Verb,past,found,Tense/Aspect,Template
I determined yesterday.,1,determine,Verb,past,determined,Tense/Aspect,Template
I avoided yesterday.,1,avoid,Verb,past,avoided,Tense/Aspect,Template
I recognised yesterday.,1,recognise,Verb,past,recognised,Tense/Aspect,Template
I enlisted yesterday.,1,enlist,Verb,past,enlisted,Tense/Aspect,Template
I lost yesterday.,1,lose,Verb,past,lost,Tense/Aspect,Template
I distinguished yesterday.,1,distinguish,Verb,past,distinguished,Tense/Aspect,Template
I installed yesterday.,1,install,Verb,past,installed,Tense/Aspect,Template
I described yesterday.,1,describe,Verb,past,described,Tense/Aspect,Template
I supplied yesterday.,1,supply,Verb,past,supplied,Tense/Aspect,Template
I persuaded yesterday.,1,persuade,Verb,past,persuaded,Tense/Aspect,Template
I displaced yesterday.,1,displace,Verb,past,displaced,Tense/Aspect,Template
I put yesterday.,1,put,Verb,past,put,Tense/Aspect,Template
I won yesterday.,1,win,Verb,past,won,Tense/Aspect,Template
I resulted yesterday.,1,result,Verb,past,resulted,Tense/Aspect,Template
I introduced yesterday.,1,introduce,Verb,past,introduced,Tense/Aspect,Template
I laid yesterday.,1,lay,Verb,past,laid,Tense/Aspect,Template
I demonstrated yesterday.,1,demonstrate,Verb,past,demonstrated,Tense/Aspect,Template
I organized yesterday.,1,organize,Verb,past,organized,Tense/Aspect,Template
I washed yesterday.,1,wash,Verb,past,washed,Tense/Aspect,Template
I acquired yesterday.,1,acquire,Verb,past,acquired,Tense/Aspect,Template
I submitted yesterday.,1,submit,Verb,past,submitted,Tense/Aspect,Template
I developed yesterday.,1,develope,Verb,past,developed,Tense/Aspect,Template
I suspected yesterday.,1,suspect,Verb,past,suspected,Tense/Aspect,Template
I advised yesterday.,1,advise,Verb,past,advised,Tense/Aspect,Template
I proclaimed yesterday.,1,proclaime,Verb,past,proclaimed,Tense/Aspect,Template
I approached yesterday.,1,approach,Verb,past,approached,Tense/Aspect,Template
I cast yesterday.,1,cast,Verb,past,cast,Tense/Aspect,Template
I managed yesterday.,1,manage,Verb,past,managed,Tense/Aspect,Template
I invited yesterday.,1,invite,Verb,past,invited,Tense/Aspect,Template
I appeared yesterday.,1,appeare,Verb,past,appeared,Tense/Aspect,Template
I dressed yesterday.,1,dress,Verb,past,dressed,Tense/Aspect,Template
I certified yesterday.,1,certify,Verb,past,certified,Tense/Aspect,Template
I worried yesterday.,1,worry,Verb,past,worried,Tense/Aspect,Template
I distributed yesterday.,1,distribute,Verb,past,distributed,Tense/Aspect,Template
I arrived yesterday.,1,arrive,Verb,past,arrived,Tense/Aspect,Template
I enhanced yesterday.,1,enhance,Verb,past,enhanced,Tense/Aspect,Template
I believed yesterday.,1,believe,Verb,past,believed,Tense/Aspect,Template
I sent yesterday.,1,send,Verb,past,sent,Tense/Aspect,Template
I read yesterday.,1,read,Verb,past,read,Tense/Aspect,Template
I preferred yesterday.,1,preferre,Verb,past,preferred,Tense/Aspect,Template
I emphasized yesterday.,1,emphasize,Verb,past,emphasized,Tense/Aspect,Template
I wrote yesterday.,1,write,Verb,past,wrote,Tense/Aspect,Template
I had yesterday.,1,haue,Verb,past,had,Tense/Aspect,Template
I complicated yesterday.,1,complicate,Verb,past,complicated,Tense/Aspect,Template
I replaced yesterday.,1,replace,Verb,past,replaced,Tense/Aspect,Template
I struck yesterday.,1,strike,Verb,past,struck,Tense/Aspect,Template
I fixed yesterday.,1,fixe,Verb,past,fixed,Tense/Aspect,Template
I secured yesterday.,1,secure,Verb,past,secured,Tense/Aspect,Template
I desired yesterday.,1,desire,Verb,past,desired,Tense/Aspect,Template
I looked yesterday.,1,looke,Verb,past,looked,Tense/Aspect,Template
